sr_no,Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime,split,path,vlm_analysis
1,also I was the point person on my companys transition from the KL-5 to GR-6 system.,Chandler,neutral,neutral,0,0,8,21,"00:16:16,059","00:16:21,731",train,/mnt/Work/ML/Code/EmoRecVid/MELD.Raw/train/train_splits/dia0_utt0.mp4,"The speaker begins with a neutral expression, which transitions to a serious demeanor as he speaks, marked by furrowed brows and a focused gaze. His mouth corners are slightly downturned, reflecting his serious tone. He nods occasionally, indicating engagement in the conversation. As the clip progresses, his expression becomes more animated, with subtle smiles suggesting moments of agreement or emphasis. His eyebrows raise slightly during these moments, and his mouth corners turn upwards. He uses hand gestures to emphasize points, adding dynamism to his communication. Towards the end, his expression returns to a more neutral state, though he maintains an engaged posture. Overall, the speaker's emotional arc shifts from neutral to serious, then to engaged and agreeable, before returning to neutrality."
2,You mustve had your hands full.,The Interviewer,neutral,neutral,0,1,8,21,"00:16:21,940","00:16:23,442",train,/mnt/Work/ML/Code/EmoRecVid/MELD.Raw/train/train_splits/dia0_utt1.mp4,"The speaker begins with a neutral expression, which transitions to a slight smile, indicating a shift towards a more positive emotional state. This change is marked by the upturning of mouth corners and subtle cheek movement. The speaker maintains a steady gaze directed at the listener, suggesting engagement and attentiveness. His head remains relatively still, with occasional nods that emphasize points during the conversation. The speaker's body language is relaxed, with minimal movement, reinforcing a calm and composed demeanor. The combination of these facial expressions, head movements, and body language suggests an overall transition from neutrality to a mild positive affect, possibly reflecting agreement or understanding."
3,That I did. That I did.,Chandler,neutral,neutral,0,2,8,21,"00:16:23,442","00:16:26,389",train,/mnt/Work/ML/Code/EmoRecVid/MELD.Raw/train/train_splits/dia0_utt2.mp4,"The speaker begins with a neutral expression, which transitions to a cheerful demeanor characterized by upturned mouth corners and a slight crinkling around the eyes. This cheerful expression is maintained throughout the clip, with no significant changes in facial expressions or body language. The speaker's gaze remains directed towards the camera, indicating engagement with the viewer. The consistent smile and relaxed posture suggest a positive and engaging interaction."
4,So lets talk a little bit about your duties.,The Interviewer,neutral,neutral,0,3,8,21,"00:16:26,820","00:16:29,572",train,/mnt/Work/ML/Code/EmoRecVid/MELD.Raw/train/train_splits/dia0_utt3.mp4,"The speaker begins with a neutral expression, which transitions to a serious demeanor as he speaks, marked by furrowed brows and downturned mouth corners. His gaze remains downward, focused on papers, suggesting concentration. He nods slightly while speaking, indicating engagement with his topic. His body language is relatively still, with minimal movement, reinforcing a sense of seriousness. As the clip progresses, the speaker's expression shifts subtly towards a more serious tone, with furrowed brows and downturned mouth corners. This change is accompanied by a slight nodding motion, further emphasizing his engagement. The speaker maintains a consistent downward gaze, directed at the papers, throughout the clip. His facial expressions, particularly the furrowed brows and downturned mouth corners, combined with his focused gaze and minimal body movement, suggest a serious and concentrated emotional state. The speaker's overall demeanor remains consistent, reflecting a sustained focus on the task at hand."
5,My duties?  All right.,Chandler,surprise,positive,0,4,8,21,"00:16:34,452","00:16:40,917",train,/mnt/Work/ML/Code/EmoRecVid/MELD.Raw/train/train_splits/dia0_utt4.mp4,"The speaker begins with a neutral expression, which transitions to a more serious demeanor as he speaks, indicated by furrowed brows and downturned mouth corners. His gaze remains directed forward, suggesting engagement with an unseen audience. He nods slightly while speaking, emphasizing his points. His body language is relatively still, with subtle hand gestures accompanying his speech. As the clip progresses, the speaker's expression shifts towards frustration, marked by increased brow furrowing and a more pronounced downturn of the mouth. This frustration is further emphasized by his continued direct gaze and slight head nods. Towards the end, there is a brief smile, indicated by upturned mouth corners, suggesting a shift to a more positive emotion. Throughout the clip, the speaker maintains a professional demeanor, appropriate for the office setting."
6,"Now youll be heading a whole division, so youll have a lot of duties.",The Interviewer,neutral,neutral,0,5,8,21,"00:16:41,126","00:16:44,337",train,/mnt/Work/ML/Code/EmoRecVid/MELD.Raw/train/train_splits/dia0_utt5.mp4,"The speaker begins with a neutral expression, which transitions to a serious demeanor as he speaks, marked by furrowed brows and downturned mouth corners. His gaze remains directed off-screen, suggesting engagement with an unseen interlocutor. He nods slightly while speaking, indicating agreement or emphasis. His body language is relatively still, with subtle hand gestures accompanying his speech. As the clip progresses, his expression shifts back to neutral, with relaxed eyebrows and a neutral mouth position. The speaker's overall emotional arc moves from neutral to serious, then back to neutral, driven by facial expressions such as brow furrowing and mouth corner positioning, along with head and gaze direction."
7,I see.,Chandler,neutral,neutral,0,6,8,21,"00:16:48,800","00:16:51,886",train,/mnt/Work/ML/Code/EmoRecVid/MELD.Raw/train/train_splits/dia0_utt6.mp4,"The speaker begins with a neutral expression, which transitions to frustration, marked by furrowed brows and tightened lips. This frustration is evident through his head shaking and gaze directed off-screen, suggesting engagement with someone not visible. His body language includes subtle hand gestures and slight shifts in posture, indicating a dynamic but controlled emotional state. As the clip progresses, the speaker's expression briefly shifts to a smile, indicated by upturned mouth corners, before returning to a neutral demeanor. The combination of these facial expressions, head movements, and body language suggests an initial neutral state that evolves into frustration, punctuated by a fleeting moment of amusement or agreement."
8,But therell be perhaps 30 people under you so you can dump a certain amount on them.,The Interviewer,neutral,neutral,0,7,8,21,"00:16:48,800","00:16:54,514",train,/mnt/Work/ML/Code/EmoRecVid/MELD.Raw/train/train_splits/dia0_utt7.mp4,"The speaker begins with a neutral expression, which transitions to frustration, evidenced by furrowed brows and tightened lips. This frustration is further emphasized by a downward gaze and a slight head tilt. As the clip progresses, the speaker's mouth corners turn downwards, reinforcing the negative emotion. The speaker's body language remains relatively still, with minimal movement, suggesting a focused and tense demeanor. Towards the end, there is a subtle shift towards a more positive expression, indicated by a slight upturn of the mouth corners, possibly hinting at a brief smile. Overall, the speaker's emotional arc moves from neutral to frustrated, with a fleeting moment of positivity at the end."
9,Good to know.,Chandler,neutral,neutral,0,8,8,21,"00:16:59,477","00:17:00,478",train,/mnt/Work/ML/Code/EmoRecVid/MELD.Raw/train/train_splits/dia0_utt8.mp4,"The speaker begins with a neutral expression, which transitions to a slight smile towards the end. Initially, his mouth corners are slightly downturned, but they gradually curve upwards, indicating a shift from neutrality to a mild positive emotion. His gaze remains directed downwards, suggesting focus on something off-screen. He maintains a relatively still head position, with subtle nods and tilts that emphasize points during the conversation. His body language is composed, with minimal movement, reinforcing a calm demeanor. The combination of these facial expressions, head movements, and body language suggests an initial neutral state that evolves into a mild positive emotion, possibly satisfaction or contentment, as the interaction progresses."
10,We can go into detail,The Interviewer,neutral,neutral,0,9,8,21,"00:17:00,478","00:17:02,719",train,/mnt/Work/ML/Code/EmoRecVid/MELD.Raw/train/train_splits/dia0_utt9.mp4,"The speaker begins with a neutral expression, which transitions to a slight smile, indicating a shift towards a more positive emotional state. This change is marked by the upturning of mouth corners and subtle cheek movement. The speaker maintains a steady gaze directed at the other person, suggesting engagement and attentiveness. His head remains relatively still, with occasional nods, reinforcing his active participation in the conversation. The body language is relaxed, with minimal movement, further emphasizing a calm and composed demeanor. The combination of these facial expressions, head movements, and body language suggests an overall transition from neutrality to a mild positive affect, possibly reflecting agreement or understanding during the interaction."
