utterance_id,emotion,speaker_gender,crop_side,start,end,path,vlm_analysis
Ses01F_impro01_F000,neu,F,left,6.2901,8.2357,utterance_clips/Session1/Ses01F_impro01/Ses01F_impro01_F000.avi,"The woman begins with a neutral expression, her mouth corners slightly downturned, and her gaze directed to the right. Her head is tilted slightly to the right, and she remains relatively still, suggesting a passive or contemplative state. As the video progresses, her expression shifts subtly; her mouth corners turn upwards into a small smile, indicating a transition from neutrality to a more positive emotion. This change is accompanied by a slight nodding motion of her head, reinforcing the shift towards a more engaged and positive demeanor. Her gaze also shifts slightly, becoming more centered, which may indicate increased focus or attention. Throughout the video, her body language remains relaxed, with minimal movement, further emphasizing the subtle nature of the emotional transition. The combination of the upward turn of her mouth corners, the nodding head, and the shift in gaze all contribute to the interpretation of a positive emotional shift, moving from a neutral or contemplative state to a more engaged and positive one."
Ses01F_impro01_F001,neu,F,left,10.01,11.3925,utterance_clips/Session1/Ses01F_impro01/Ses01F_impro01_F001.avi,"The woman begins with a neutral expression, her mouth corners slightly downturned, and her gaze directed downwards. Her head is tilted slightly to the right, and she remains relatively still, suggesting a contemplative or passive state. As the video progresses, her expression shifts subtly; her mouth corners turn upwards into a small smile, indicating a transition from neutrality to a more positive emotion. This change is accompanied by a slight nodding motion of her head, reinforcing the shift towards a more engaged and positive demeanor. Her gaze also moves slightly upward, reflecting an increase in attentiveness or interest. Throughout the video, her body language remains relaxed, with minimal movement, emphasizing a calm and composed presence. The combination of the upward turn of her mouth corners, the subtle nodding, and the shift in gaze all contribute to the interpretation of a positive emotional shift, moving from a neutral or contemplative state to one of mild engagement or contentment."
Ses01F_impro01_F002,neu,F,left,14.8872,18.0175,utterance_clips/Session1/Ses01F_impro01/Ses01F_impro01_F002.avi,"The woman begins with a neutral expression, her mouth corners slightly downturned, suggesting a serious demeanor. Her gaze is directed downwards, and she remains relatively still, indicating a contemplative state. As the video progresses, her facial expressions shift subtly; her mouth corners turn upwards, and her eyebrows raise slightly, reflecting a transition to a more engaged and possibly amused state. She begins to speak, her mouth moving as she forms words, and her head tilts slightly to the right, suggesting active listening or consideration. Her body language becomes more animated, with subtle hand gestures accompanying her speech, indicating increasing engagement. The combination of these facial actions—upturned mouth corners, raised eyebrows—and the dynamic body language suggests a shift from neutrality to a more positive and involved emotional state. The final change is marked by a brief smile, further reinforcing the sense of amusement or satisfaction. Throughout the video, her gaze remains primarily focused on something off-screen, likely the person she is addressing. The overall impression is of a woman transitioning from a neutral, perhaps slightly serious, state to one of increased engagement and mild amusement."
Ses01F_impro01_F003,xxx,F,left,19.29,20.7875,utterance_clips/Session1/Ses01F_impro01/Ses01F_impro01_F003.avi,"The woman begins with a neutral expression, her mouth corners slightly downturned, and her gaze directed off-screen to the right. Her head is tilted slightly downward, and she remains relatively still, suggesting a passive engagement with something outside the frame. As the video progresses, her expression shifts subtly; her mouth corners turn upwards into a small smile, indicating a transition from neutrality to a more positive affect. This change is accompanied by a slight upward tilt of her head, suggesting increased interest or engagement. Her gaze also shifts slightly towards the camera, further reinforcing this change in focus. Throughout the video, her body language remains relaxed, with minimal movement, emphasizing a calm demeanor. The combination of the subtle smile, upward head tilt, and redirected gaze suggests a shift from a neutral to a mildly positive emotional state, possibly triggered by an external stimulus."
Ses01F_impro01_F004,xxx,F,left,21.3257,24.74,utterance_clips/Session1/Ses01F_impro01/Ses01F_impro01_F004.avi,"The woman begins with a neutral expression, her mouth corners slightly downturned, and her gaze directed downwards. Her head is tilted slightly to the right, and she remains relatively still, suggesting a contemplative or passive state. As the video progresses, her expression shifts subtly; her mouth corners turn upwards into a small smile, indicating a transition from neutrality to a more positive emotion. This change is accompanied by a slight nodding motion of her head, reinforcing the shift towards a more engaged and positive demeanor. Her gaze also becomes more direct, looking straight ahead, which further supports the interpretation of increased engagement. Throughout the video, her body language remains relaxed, with minimal movement, emphasizing the subtle nature of the emotional shift. The combination of the upward turn of her mouth corners, the nodding head, and the direct gaze all contribute to the overall impression of a transition from a neutral to a more positive emotional state."
Ses01F_impro01_F005,neu,F,left,27.46,31.49,utterance_clips/Session1/Ses01F_impro01/Ses01F_impro01_F005.avi,"The woman begins with a neutral expression, her mouth corners slightly downturned, and her gaze directed off-screen to the right. Her head is tilted slightly downward, and she remains relatively still, suggesting a passive engagement with something outside the frame. As she speaks, her mouth moves, and her teeth become briefly visible. She blinks naturally throughout. Later, her mouth corners turn upwards into a brief smile, indicating a shift towards a more positive emotion. This change coincides with a slight upward tilt of her head, suggesting increased engagement or interest. Her body language remains relaxed, with minimal movement, reinforcing the impression of a calm demeanor. The overall transition from a neutral to a slightly positive emotional state is marked by the subtle shift in her facial expressions and head position."
Ses01F_impro01_F006,fru,F,left,38.965,43.59,utterance_clips/Session1/Ses01F_impro01/Ses01F_impro01_F006.avi,"The woman begins with a neutral expression, her mouth corners slightly downturned, and her gaze directed off-screen to the right. Her head is tilted slightly downward, suggesting she is listening or contemplating. She remains relatively still, with minimal body movement, indicating a calm demeanor. As the video progresses, her expression shifts subtly; her mouth corners turn upwards into a small smile, and her gaze becomes more direct, suggesting a transition from neutrality to a more positive or engaged emotional state. This change is accompanied by a slight nodding motion of her head, reinforcing the impression of agreement or acknowledgment. Her eyebrows remain relaxed throughout, further contributing to the overall sense of ease and engagement. The combination of the upward turn of her mouth, the directness of her gaze, and the subtle nodding suggests a shift towards a more positive emotional state, possibly in response to something said or happening off-camera. The overall impression is that she moves from a neutral, contemplative state to a more engaged and positive one."
Ses01F_impro01_F007,fru,F,left,46.58,52.19,utterance_clips/Session1/Ses01F_impro01/Ses01F_impro01_F007.avi,"The woman begins with a neutral expression, her mouth corners slightly downturned, and her gaze directed off-screen to the right. Her head is tilted slightly downward, and she exhibits minimal body movement, suggesting a contemplative or focused state. As the video progresses, her expression shifts subtly; her mouth corners turn upwards into a small smile, indicating a transition from neutrality to a more positive emotion. This change is accompanied by a slight upward tilt of her head, suggesting increased engagement or interest. Her gaze remains directed off-screen, but the subtle smile and head movement suggest a shift towards a more positive emotional state. Throughout the video, her eyebrows remain relatively neutral, without significant furrowing or raising, which supports the interpretation that her emotional state is not overly intense or negative. The combination of the slight smile, upward head tilt, and sustained gaze direction suggests a transition from a neutral or contemplative state to a more engaged and positive one."
Ses01F_impro01_F008,fru,F,left,56.16,58.8225,utterance_clips/Session1/Ses01F_impro01/Ses01F_impro01_F008.avi,"The woman begins with a neutral expression, her mouth corners slightly upturned, suggesting a relaxed demeanor. Her head is tilted slightly to the right, and she gazes off-screen, indicating engagement with something outside the frame. She sits with her hands clasped in her lap, maintaining a still posture that conveys calmness. As the video progresses, her expression shifts subtly; her mouth corners turn downwards, and her eyebrows furrow slightly, reflecting a transition from neutrality to mild concern or contemplation. This change is accompanied by a slight nodding motion of her head, reinforcing the impression of thoughtful consideration. Her gaze remains directed off-screen, and her body language stays relatively static, with minimal movement beyond the subtle head nod. Towards the end, her expression returns to neutral, with her mouth corners relaxing slightly. Throughout the video, her facial expressions and body language suggest a progression from a neutral state to mild concern and back to neutrality, driven by the unseen context of her interaction."
Ses01F_impro01_F009,fru,F,left,61.87,65.97,utterance_clips/Session1/Ses01F_impro01/Ses01F_impro01_F009.avi,"The woman begins with a neutral expression, her mouth corners slightly downturned, and her gaze directed off to the side. Her head is tilted slightly down and to the right, suggesting a pensive or contemplative mood. She remains relatively still, with minimal body movement, indicating a focused internal state. As she speaks, her mouth moves, and her teeth become briefly visible. Her eyebrows remain neutral throughout, showing no significant change in angle. Later, her mouth corners turn upwards into a brief smile, suggesting a shift towards a more positive emotion. This smile coincides with a slight nod of her head, reinforcing the impression of agreement or acknowledgment. Her gaze shifts slightly towards the camera, indicating increased engagement with the viewer. Throughout the video, her posture remains mostly unchanged, with only subtle shifts in head position and facial expressions. The overall impression is of a woman transitioning from a neutral, possibly thoughtful state to a more engaged and subtly positive demeanor as she speaks."
