utterance_id,emotion,speaker_gender,crop_side,start,end,path,vlm_analysis,paligemma_emotion
Ses01F_impro01_F000,neu,F,left,6.2901,8.2357,utterance_clips/Session1/Ses01F_impro01/Ses01F_impro01_F000.avi,"The video features a young adult woman with dark hair styled in a ponytail, sitting against a plain background. She is wearing a dark sleeveless top over a reddish-brown garment, complemented by a dark vest or wrap. A watch is visible on her left wrist, and she appears to be wearing minimal makeup. Her expression remains neutral throughout, with her mouth corners slightly downturned, suggesting a pensive or contemplative mood. Her gaze is directed downwards and slightly to the right, indicating introspection or focus on something off-screen. Her head is tilted slightly down and to the right, reinforcing this impression of thoughtfulness. The woman's body language is still, with no significant movement apart from subtle shifts in posture, further emphasizing her contemplative state. Her facial actions are minimal, primarily consisting of natural blinking and occasional slight squinting, possibly due to concentration or lighting conditions. There are no noticeable changes in her facial expressions, such as smiling or frowning, which aligns with her consistently neutral demeanor. Her overall behavior suggests a calm and focused state, engaged in internal reflection or listening intently to something outside the frame. The lack of dynamic facial expressions or body movements underscores her sustained attention and contemplative mood.",neutral
Ses01F_impro01_F001,neu,F,left,10.01,11.3925,utterance_clips/Session1/Ses01F_impro01/Ses01F_impro01_F001.avi,"The video features a young adult woman with dark hair styled in a ponytail, sitting against a plain background. She is wearing a sleeveless dark top and a darker skirt or pants, with a watch visible on her left wrist. Her expression is neutral, perhaps slightly pensive, as she engages in conversation. Her gaze is directed off-screen to her right, indicating she is addressing someone not visible in the frame. Throughout the video, she maintains a relatively still posture, with minimal body movement apart from subtle hand gestures accompanying her speech. Her head remains mostly still, with occasional slight tilts and turns, suggesting active listening or engagement in the conversation. Her facial expressions remain consistent, with no significant changes in eyebrow position or mouth shape beyond natural blinking and speaking movements. The overall impression is one of calmness and focus, with her demeanor and actions conveying a sense of thoughtful engagement in the ongoing interaction.",neutral
Ses01F_impro01_F002,neu,F,left,14.8872,18.0175,utterance_clips/Session1/Ses01F_impro01/Ses01F_impro01_F002.avi,"The video features a young adult female with shoulder-length dark brown or black hair styled in braids, wearing a dark headband adorned with small pink flower-shaped accessories. She is dressed in a sleeveless reddish-brown top and a dark vest, with her hands restrained by handcuffs. Initially, she sits with her head slightly tilted downwards, maintaining a neutral expression. Her gaze is directed forward, and her mouth corners are slightly downturned. As she begins to speak, her mouth opens and closes, revealing her teeth briefly before they become obscured again. Her eyebrows remain relatively neutral throughout, with no significant furrowing or raising. Her facial expressions shift subtly as she speaks, reflecting the nuances of her words. Her body language remains largely static due to the restraints, with minimal movement beyond slight shifts in posture. The overall demeanor suggests a controlled and deliberate communication style, possibly indicating a sense of restraint or constraint. The scene is set against a plain, light-colored background, with even lighting that illuminates her face clearly. The camera remains stationary, focused solely on the woman.",surprise
Ses01F_impro01_F003,xxx,F,left,19.29,20.7875,utterance_clips/Session1/Ses01F_impro01/Ses01F_impro01_F003.avi,"The video features a young adult woman with dark hair styled in a braided updo, wearing a dark headband adorned with small red embellishments. She is seated on a low platform against a plain, light-colored wall, dressed in a sleeveless reddish-brown top and a dark vest or overshirt. Her gaze is directed slightly to the right of the camera, and her expression remains neutral throughout the clip. Her mouth corners are slightly downturned, suggesting a serious demeanor. The woman's facial actions primarily consist of talking, evident through subtle lip movements, while her body language is characterized by minimal movement, maintaining a consistent seated position. Her head remains relatively still, facing slightly to the right, with no significant changes in posture or gestures. The lighting is even but somewhat dim, making it difficult to discern finer details like skin texture or precise eye color. Overall, the woman's neutral expression, combined with her limited body language and focused gaze, suggests a calm and composed emotional state, possibly engaged in a thoughtful conversation or delivering a message.",neutral
Ses01F_impro01_F004,xxx,F,left,21.3257,24.74,utterance_clips/Session1/Ses01F_impro01/Ses01F_impro01_F004.avi,"The video features a young adult woman with dark hair styled in a ponytail, sitting against a plain background. She is wearing a sleeveless reddish-brown top and a dark vest, accessorized with a small, light-colored hair ornament and a bracelet on her left wrist. Her gaze is directed slightly to the right of the camera, and she maintains a generally neutral expression throughout the video. Her mouth corners are slightly downturned, suggesting a pensive or contemplative mood. She engages in subtle hand gestures while speaking, emphasizing points in her conversation. Her head remains relatively still, with occasional slight tilts and turns as she speaks. Her eyebrows remain relaxed, and there are no significant changes in their angle. The woman's overall demeanor suggests a calm and focused engagement in the conversation, with her body language indicating attentiveness and thoughtfulness. The lighting is even but somewhat dim, making it difficult to discern finer details like skin texture or precise eye color.",neutral
Ses01F_impro01_F005,neu,F,left,27.46,31.49,utterance_clips/Session1/Ses01F_impro01/Ses01F_impro01_F005.avi,"The video features a young adult woman with dark hair pulled back into a ponytail, adorned with a small white flower ornament, sitting against a plain background. She wears a sleeveless coral top and a darker vest, accessorized with a watch on her left wrist and a bracelet on her right. Her gaze is directed slightly to the right of the camera, and she maintains a generally neutral expression throughout. Initially, her mouth corners are slightly downturned, but they relax as she begins to speak. Her primary facial action is talking, evident in the movement of her lips and jaw. She blinks naturally, and her eyebrows remain relatively neutral, with no significant furrowing or raising. Her body language is relaxed, with minimal movement aside from subtle shifts in posture while seated. Her head remains mostly still, facing slightly to the right, with occasional slight tilts. The overall impression is one of calmness and focus, suggesting she is engaged in a conversation or presentation. The lighting is even and moderately bright, coming from a source in front of her.",neutral
Ses01F_impro01_F006,fru,F,left,38.965,43.59,utterance_clips/Session1/Ses01F_impro01/Ses01F_impro01_F006.avi,"The video features a young adult woman with shoulder-length dark brown hair pulled back into a ponytail, centered in the frame against a plain background. She is wearing a dark headband and a watch on her left wrist. Her face is oval-shaped with a rounded chin, and she has narrow lips. Initially, her expression is neutral, with her mouth corners slightly downturned. As she begins to speak, her mouth moves dynamically, forming words, and her teeth become visible intermittently. Her gaze shifts between looking directly at the camera and glancing down or to the side as she speaks. Her eyebrows remain relatively neutral throughout, without significant raising or furrowing. She uses hand gestures while speaking, emphasizing points with her hands. Her head remains mostly still, facing forward, but she occasionally nods subtly for emphasis. Her overall demeanor suggests engagement in conversation, with subtle shifts in expression reflecting the nuances of her speech. The lighting is even and moderately bright, coming from a frontal source.",neutral
Ses01F_impro01_F007,fru,F,left,46.58,52.19,utterance_clips/Session1/Ses01F_impro01/Ses01F_impro01_F007.avi,"The video features a young adult woman with dark hair styled in a low ponytail, seated against a plain background. She is wearing a dark top over a reddish garment and has a black bag beside her. Her gaze is directed slightly downwards and to the right, with her head tilted in the same direction. Initially, she appears pensive or neutral, with her mouth corners slightly downturned and eyebrows relaxed. As she begins to speak, her expression shifts to one of engagement, with her mouth corners turning upwards into a subtle smile. Her facial actions include talking, blinking naturally, and occasional squinting, possibly due to concentration or lighting. She uses hand gestures while speaking, emphasizing points in her conversation, and occasionally nods her head subtly. Her body language remains relatively still, with her hands resting on her lap or the bag beside her. The overall impression is of a thoughtful individual engaged in a conversation, with her expressions and gestures reflecting active participation. The lighting is dim, casting shadows on her face, which makes some details difficult to discern.",neutral
Ses01F_impro01_F008,fru,F,left,56.16,58.8225,utterance_clips/Session1/Ses01F_impro01/Ses01F_impro01_F008.avi,"The video features a young adult female with shoulder-length dark brown hair pulled back into a low ponytail, centered in the frame against a plain background. She is wearing a dark top and a black bag with a gold clasp over her right shoulder. Her face is round or oval-shaped, with a rounded chin and medium cheekbones. Initially, she has a neutral expression, with her mouth corners slightly downturned and her gaze directed downwards. As she begins to speak, her mouth moves, and her teeth become briefly visible. Her mouth corners turn upwards into a subtle smile, suggesting a shift towards a more positive or engaged emotional state. This change coincides with slight head nods, indicating agreement or emphasis on her words. Her eyebrows remain relatively neutral throughout, without significant raising or furrowing. The overall impression is one of calm engagement, as she appears focused on communicating directly to the viewer. Her body remains mostly still, with only minor shifts in posture, reinforcing the impression of a composed demeanor. The lighting is dim, casting some shadows on her face, which makes it difficult to discern finer details like eye color and skin tone.",neutral
Ses01F_impro01_F009,fru,F,left,61.87,65.97,utterance_clips/Session1/Ses01F_impro01/Ses01F_impro01_F009.avi,"The video features a young adult female with dark hair styled in a ponytail, wearing a black headband with a small red detail. She is seated against a plain background, possibly on a chair or bench, with her hands clasped together in front of her. Her gaze is directed slightly to the right of the camera, and she maintains a relatively still posture throughout the video. Initially, her expression is neutral, with her mouth corners slightly downturned. As she begins to speak, her lips move, and her mouth corners turn upwards into a subtle smile, suggesting a shift towards a more positive or engaged emotional state. This change in expression coincides with her speaking, indicating that the act of talking is associated with a positive emotional response. Her eyebrows remain relatively neutral, without significant furrowing or raising. The clasped hands and minimal body movement suggest a focused and attentive demeanor. Her overall demeanor remains calm and composed, with no dramatic shifts in expression or body language. The lighting is somewhat dim, casting subtle shadows on her face, which makes it difficult to discern finer details like eye color and skin tone. The scene remains static, with no apparent camera movement or changes in the background.",neutral
